type_of_house;street;house_number
detached;Ново-Сайсарская улица;09.фев
detached;Ново-Сайсарская улица;03.фев
detached;Ново-Сайсарская улица;09.мар
detached;Ново-Сайсарская улица;05.фев
detached;Ново-Сайсарская улица;5
detached;Ново-Сайсарская улица;13
detached;Ново-Сайсарская улица;03.мар
yes;Ново-Сайсарская улица;04.окт
detached;Ново-Сайсарская улица;05.янв
detached;Ново-Сайсарская улица;04.авг
detached;Ново-Сайсарская улица;6
detached;Ново-Сайсарская улица;11
detached;Ново-Сайсарская улица;16А
yes;Ново-Сайсарская улица;04.мар
detached;Ново-Сайсарская улица;7
detached;Ново-Сайсарская улица;24
detached;Ново-Сайсарская улица;22
yes;Парковая улица;38
yes;Парковая улица;16
yes;Парковая улица;34
commercial;Парковая улица;21
apartments;Парковая улица;48
commercial;Парковая улица;25
house;Парковая улица;7
house;Парковая улица;11
apartments;Парковая улица;65
yes;Парковая улица;12
house;Парковая улица;29
house;Парковая улица;3
yes;Парковая улица;43
apartments;Парковая улица;52
apartments;Парковая улица;50
house;Парковая улица;5
yes;Парковая улица;41
house;Парковая улица;15
house;Парковая улица;22
yes;Парковая улица;39
yes;Парковая улица;24.янв
house;Парковая улица;1
yes;Парковая улица;10
house;Парковая улица;17
yes;Парковая улица;42
yes;Парковая улица;37
house;Парковая улица;23
house;Парковая улица;20
apartments;Парковая улица;46
house;Парковая улица;19
yes;Парковая улица;8
house;Парковая улица;31
yes;Парковая улица;40
yes;Парковая улица;6
apartments;Парковая улица;44
house;Парковая улица;24
house;Парковая улица;26
house;Парковая улица;13
yes;Парковая улица;2
yes;Парковая улица;33
house;Парковая улица;28
yes;Парковая улица;4
yes;Парковая улица;18
yes;Парковая улица;36
yes;Парковая улица;14
house;Парковая улица;9
house;Парковая улица;27
house;Парковая улица;32
residential;Радужная улица;69/12
yes;Сергеляхское шоссе;05.дек
apartments;Сергеляхское шоссе;06.янв
yes;Сергеляхское шоссе;01.сен
yes;Сергеляхское шоссе;4
yes;Сергеляхское шоссе;4
